,Area,Area Id,Variable Name,Variable Id,Year,Value
110,Belarus,57.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2017.0,2.4130000000000003
116,Belgium,255.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1980.0,49.34
117,Belgium,255.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1997.0,42.02
118,Belgium,255.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2002.0,36.8
119,Belgium,255.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2007.0,33.96
120,Belgium,255.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2012.0,28.96
121,Belgium,255.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2015.0,21.83
128,Belize,23.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1987.0,0.092
129,Belize,23.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2000.0,0.4648
132,Benin,53.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1985.0,0.426
133,Benin,53.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2001.0,0.4926
136,Bhutan,18.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2008.0,0.4332
138,Bolivia (Plurinational State of),19.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1987.0,0.21600000000000003
139,Bolivia (Plurinational State of),19.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2009.0,0.3638
142,Bosnia and Herzegovina,80.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2002.0,1.001
143,Bosnia and Herzegovina,80.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2007.0,1.0390000000000001
144,Bosnia and Herzegovina,80.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2012.0,1.167
145,Bosnia and Herzegovina,80.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2017.0,1.069
150,Botswana,20.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1985.0,0.612
151,Botswana,20.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1992.0,0.9232
152,Botswana,20.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1995.0,1.172
153,Botswana,20.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2000.0,1.585
154,Botswana,20.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2012.0,1.587
155,Botswana,20.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2017.0,1.577
162,Brazil,21.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1987.0,0.4052
163,Brazil,21.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1996.0,0.67
164,Brazil,21.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2006.0,0.6716
165,Brazil,21.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2010.0,0.8648
166,Brazil,21.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2017.0,0.7596
172,Brunei Darussalam,26.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1991.0,0.8941
173,Brunei Darussalam,26.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1994.0,1.082
176,Bulgaria,27.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1980.0,66.57
177,Bulgaria,27.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1985.0,66.15
178,Bulgaria,27.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1990.0,35.18
179,Bulgaria,27.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2002.0,30.93
180,Bulgaria,27.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2007.0,29.12
181,Bulgaria,27.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2012.0,26.83
182,Bulgaria,27.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2017.0,26.56
190,Burkina Faso,233.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1985.0,2.148
191,Burkina Faso,233.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1992.0,2.785
192,Burkina Faso,233.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2001.0,5.301
193,Burkina Faso,233.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2005.0,6.059
198,Burundi,29.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1987.0,0.7974
199,Burundi,29.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2000.0,2.2969999999999997
202,Cabo Verde,35.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2001.0,6.767
204,Cambodia,115.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2006.0,0.4587
206,Cameroon,32.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1987.0,0.1399
207,Cameroon,32.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1992.0,0.1413
208,Cameroon,32.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2000.0,0.3414
212,Canada,33.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1986.0,1.454
213,Canada,33.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1991.0,1.554
214,Canada,33.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1996.0,1.455
215,Canada,33.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2007.0,1.4240000000000002
216,Canada,33.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2011.0,1.227
217,Canada,33.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2017.0,1.227
224,Central African Republic,37.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1987.0,0.0138
225,Central African Republic,37.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2000.0,0.047
226,Central African Republic,37.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2005.0,0.0514
230,Chad,39.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1987.0,0.3961
231,Chad,39.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2002.0,1.858
232,Chad,39.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2005.0,1.925
236,Chile,40.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1992.0,2.198
237,Chile,40.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2006.0,3.8310000000000004
240,China,351.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1980.0,15.62
241,China,351.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1985.0,16.94
242,China,351.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1990.0,17.61
243,China,351.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1993.0,18.5
244,China,351.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2000.0,19.36
